Time,model,gene_symbol,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj,PH_FDR,PH_pass_nominal,entry_day
D3,median_center_sensitivity,ERP29,-0.725508655001223,0.484078277485153,0.580319328289502,-1.25018867998015,0.211230631009783,0.155219716813013,1.50967791685435,0.889225817568832,0.345687190231037,TRUE,147,18,0.52029083402745,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ERP44,-1.24690860163175,0.287391867760005,0.571391539017924,-2.18223147611683,0.0290924533673013,0.0937788958541811,0.880732118908841,0.212811714055046,0.644572481021041,TRUE,147,18,0.209468559230087,0.971677904840114,TRUE,2
D3,median_center_sensitivity,ESAM,0.219122886141087,1.24498425859891,0.511905736141061,0.428053195482664,0.668612391773223,0.45648751890016,3.39546151862717,0.035381903046959,0.850797650471976,TRUE,147,18,0.868777463978866,0.990884897698504,TRUE,2
D3,median_center_sensitivity,ESD,0.219696307561082,1.24569836396244,0.333472631112297,0.658813608865847,0.510015467257406,0.647978320473572,2.39477828956468,1.6580709543391,0.197863981112936,TRUE,147,18,0.774411428571462,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ESM1,0.190872189510085,1.21030475255203,0.228719484175647,0.83452527097999,0.403985052984911,0.77305138174831,1.89487740224614,2.36159423896464,0.124355045842319,TRUE,147,18,0.694209348255667,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ESYT1,-0.692280066425124,0.500433745093484,0.647407858235122,-1.06931057079277,0.284929748962955,0.140692847414167,1.78000472540775,0.00131313358115667,0.97109323605823,TRUE,147,18,0.589483597026937,0.993552428757996,TRUE,2
D3,median_center_sensitivity,ESYT2,-1.73499343146415,0.176401358981185,0.595726084720337,-2.91240131322878,0.0035866151247926,0.0548806142970895,0.567002389622652,0.897680672666304,0.343404370198406,TRUE,147,18,0.0709088449416904,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ETF1,1.44897392317087,4.25874247555272,0.338415419980331,4.28164273145438,1.85518668340468e-05,2.19392436610108,8.26686997661126,0.8717129438037,0.350481529532377,TRUE,147,18,0.00512727884289766,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ETFB,0.763910811959735,2.14665498992995,0.232857120390139,3.28059889549371,0.00103586942204839,1.360046978888,3.38821211128961,2.25309181109587,0.133347737708209,TRUE,147,18,0.0375396498409599,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ETFDH,0.456527341480074,1.57858257738458,0.2105537150073,2.16822268590343,0.0301417475570898,1.04482524655406,2.3850141081877,1.0255857613631,0.31119770510038,TRUE,147,18,0.2127491289321,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EVI5L,0.0930668077501974,1.09753505666673,0.262441291268448,0.354619531478378,0.722874641944844,0.656187523960576,1.83573011772901,0.00272550367436837,0.958364267970764,TRUE,147,18,0.895791249611855,0.992161778890385,TRUE,2
D3,median_center_sensitivity,EVL,0.166072990770819,1.1806592758089,0.278031750047231,0.597316640069371,0.550295996833315,0.68464198575549,2.03603686971576,0.188239271258285,0.664386114638092,TRUE,147,18,0.797455866764808,0.972199940770097,TRUE,2
D3,median_center_sensitivity,EWSR1,0.767027254992601,2.15335535314447,0.231717924192196,3.31017661955403,0.000932371187079534,1.36734167138673,3.39120746039521,0.891607153598434,0.345042155870452,TRUE,147,18,0.0368667178564612,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EXD2,0.0189822428656912,1.01916355103267,0.299246136017846,0.0634335437653209,0.949421276964673,0.566924349677148,1.83215687303789,0.0623181507502868,0.802868827548212,TRUE,147,18,0.98990623610169,0.983432503239157,TRUE,2
D3,median_center_sensitivity,EXOC1,-0.246781680861875,0.781311250111548,0.702604456393773,-0.351238422438309,0.725409487152242,0.197136063542623,3.09657836613383,0.961778666326355,0.326739150583418,TRUE,147,18,0.896924621159839,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EXOC2,0.13576181669706,1.14540904379275,0.711677679420762,0.190763066796695,0.848711225677698,0.28390920189734,4.62106148315905,0.119676111518153,0.729386038482074,TRUE,147,18,0.954865395867807,0.974781042740008,TRUE,2
D3,median_center_sensitivity,EXOC3,-0.0452368390627657,0.955771091095639,0.77556898337191,-0.0583272926491868,0.953487928127002,0.209020255802538,4.37038207166455,0.483203263005204,0.486974941635042,TRUE,147,18,0.990156229678624,0.948357885006311,TRUE,2
D3,median_center_sensitivity,EXOC3L2,-0.0877524548801656,0.915987596919875,0.408274471603783,-0.214934954261178,0.829818032145231,0.411496108806217,2.03898228866647,0.768856947574256,0.380570897166916,TRUE,147,18,0.947420410890622,0.938972268617141,TRUE,2
D3,median_center_sensitivity,EXOC3L4,0.58627028024431,1.79727257605049,0.356142567744852,1.64616738728162,0.0997293016392765,0.894262139477672,3.61212732824613,0.0109395834115534,0.916699195195734,TRUE,147,18,0.386922774053903,0.990884897698504,TRUE,2
D3,median_center_sensitivity,EXOC4,-0.125058210940936,0.88244553310467,0.600060640957307,-0.208409288003666,0.83490940477213,0.272217076460263,2.86062185746109,0.69204935215189,0.405468193613859,TRUE,147,18,0.950761283874057,0.938972268617141,TRUE,2
