entry_name	entry	spec	variable	SMD_before	SMD_after
primary	4	PF_PLT_noD3	center=Centre 25	0.0210797338870439	0.0006059969987181
primary	4	PF_PLT_noD3	center=Centre 26	0.0639412822989903	0.00433944909876828
primary	4	PF_PLT_noD3	center=Centre 27	0.0741343703449962	0.00212356915486921
primary	4	PF_PLT_noD3	center=Centre 28	-0.0804225880083308	0.00804485907439003
primary	4	PF_PLT_noD3	center=Centre 29	0.0423316966822672	0.00121577764085921
primary	4	PF_PLT_noD3	center=Centre 30	-0.0368099093436772	-0.0112302022995448
lower	3.75	SOFA_D3	age_z	0.0511466548678526	0.0157636011050429
lower	3.75	SOFA_D3	sex=0	-0.0355423613650168	-0.00975125733713988
lower	3.75	SOFA_D3	sex=1	0.0355423613650167	0.00975125733713977
lower	3.75	SOFA_D3	SOFA_z	0.0110812760519329	0.00261406362976475
lower	3.75	SOFA_D3	log2_lac_z	0.0603952750380755	0.011542309850307
lower	3.75	SOFA_D3	log2_inr_z	0.0846213969229036	0.0607712798455873
lower	3.75	SOFA_D3	log2_ddimer_z	-0.0372821202591925	-0.0253656850250971
lower	3.75	SOFA_D3	infectionSite_SD=Lung/Chest	0.063078443952767	0.030064573878689
lower	3.75	SOFA_D3	infectionSite_SD=Urinary	-0.0362432510240994	-0.041731943418503
lower	3.75	SOFA_D3	infectionSite_SD=SoftTissue	-0.0353442055453371	-0.0176631387063484
lower	3.75	SOFA_D3	infectionSite_SD=Abdomen	-0.00342082685257582	0.000219921876671644
lower	3.75	SOFA_D3	infectionSite_SD=Biliary/Liver	-0.0282478706360197	0.0175022134296191
lower	3.75	SOFA_D3	infectionSite_SD=Others/Unknown	0.00437317826621863	-0.00402963030390294
lower	3.75	SOFA_D3	center=Centre 01	-0.0162597524707504	-0.0162632824351299
lower	3.75	SOFA_D3	center=Centre 02	0.0298665609642527	0.00910068447435682
lower	3.75	SOFA_D3	center=Centre 03	0.0366284937285201	0.0111583837891313
lower	3.75	SOFA_D3	center=Centre 05	-0.0444859310209811	0.0042744552826212
lower	3.75	SOFA_D3	center=Centre 06	0.021090340771864	0.00642803921462182
lower	3.75	SOFA_D3	center=Centre 07	-0.289188711588282	-0.163622462983964
lower	3.75	SOFA_D3	center=Centre 08	0.0423524206727058	0.0128989197673815
lower	3.75	SOFA_D3	center=Centre 09	-0.0275490157007892	0.0646155399757596
lower	3.75	SOFA_D3	center=Centre 10	0.0942475359991555	0.0285938151884494
lower	3.75	SOFA_D3	center=Centre 11	0.021090340771864	0.00642803921462182
lower	3.75	SOFA_D3	center=Centre 13	0.0298665609642527	0.00910068447435682
lower	3.75	SOFA_D3	center=Centre 14	0.0211071624628767	0.00720527727261952
lower	3.75	SOFA_D3	center=Centre 15	0.126543836050169	0.054391870439069
lower	3.75	SOFA_D3	center=Centre 16	0.0182776692702283	-0.00623393150380945
lower	3.75	SOFA_D3	center=Centre 17	0.0520125701796291	0.0158331584623516
lower	3.75	SOFA_D3	center=Centre 19	-0.0327006393266532	-0.0522926071552294
lower	3.75	SOFA_D3	center=Centre 20	-0.0162597524707504	0.0103210138570917
lower	3.75	SOFA_D3	center=Centre 21	0.0298665609642527	0.00910068447435682
lower	3.75	SOFA_D3	center=Centre 22	-0.0777494485419651	-0.045753753987621
lower	3.75	SOFA_D3	center=Centre 23	0.0366284937285201	0.0111583837891313
lower	3.75	SOFA_D3	center=Centre 24	-0.0197167121070384	-0.00486581461390759
lower	3.75	SOFA_D3	center=Centre 25	0.021090340771864	0.00642803921462182
lower	3.75	SOFA_D3	center=Centre 26	0.0640269406374533	0.0494745273585077
lower	3.75	SOFA_D3	center=Centre 27	0.0741678892964971	0.0225431454760648
lower	3.75	SOFA_D3	center=Centre 28	-0.080183914347328	-0.0520280216101989
