Package	Version	Built
scuttle	1.16.0	4.4.1
segmented	2.1-4	4.4.3
selectr	0.4-2	4.4.2
seqinr	4.2-36	4.4.3
sessioninfo	1.2.2	4.4.2
Seurat	5.4.0	4.4.3
SeuratObject	5.2.0	4.4.3
SeuratWrappers	0.4.0	4.4.2
sf	1.0-21	4.4.3
shades	1.4.0	4.4.3
shape	1.4.6.1	4.4.0
SHAPforxgboost	0.2.0	4.4.3
shapviz	0.10.3	4.4.3
shiny	1.9.1	4.4.2
shinydashboard	0.7.3	4.4.3
shinyjs	2.1.0	4.4.3
siggenes	1.80.0	4.4.1
SingleCellExperiment	1.28.1	4.4.1
sitmo	2.0.2	4.4.3
slam	0.1-55	4.4.2
slider	0.3.3	4.4.3
sm	2.2-6.0	4.4.3
sna	2.8	4.4.3
snow	0.4-4	4.4.0
SnowballC	0.7.1	4.4.0
snowfall	1.84-6.3	4.4.2
som	0.3-5.2	4.4.1
sourcetools	0.1.7-1	4.4.2
sp	2.2-0	4.4.3
spam	2.11-1	4.4.3
SparseArray	1.6.2	4.4.2
SparseM	1.84-2	4.4.2
sparseMatrixStats	1.18.0	4.4.1
sparsevctrs	0.3.4	4.4.3
SpatialExperiment	1.16.0	4.4.1
spatstat.data	3.1-9	4.4.3
spatstat.explore	3.5-3	4.4.3
spatstat.geom	3.6-0	4.4.3
spatstat.random	3.4-2	4.4.3
spatstat.sparse	3.1-0	4.4.3
spatstat.univar	3.1-4	4.4.3
spatstat.utils	3.2-0	4.4.3
SQUAREM	2021.1	4.4.0
stabs	0.6-4	4.4.3
statmod	1.5.0	4.4.2
statnet.common	4.12.0	4.4.3
stringfish	0.17.0	4.4.3
stringi	1.8.4	4.4.0
stringr	1.6.0	4.4.3
styler	1.11.0	4.4.3
SummarizedExperiment	1.36.0	4.4.1
survey	4.4-8	4.4.3
survminer	0.5.0	4.4.2
survMisc	0.5.6	4.4.2
sva	3.54.0	4.4.1
svglite	2.2.2	4.4.3
sys	3.4.3	4.4.2
systemfonts	1.3.1	4.4.3
tableone	0.13.2	4.4.3
tensor	1.5.1	4.4.3
tensorA	0.36.2.1	4.4.0
testthat	3.3.2	4.4.3
textshaping	0.4.0	4.4.2
tgp	2.4-23	4.4.3
TH.data	1.1-2	4.4.2
tibble	3.2.1	4.4.2
tidygraph	1.3.1	4.4.3
tidyr	1.3.1	4.4.2
tidyselect	1.2.1	4.4.2
tidytext	0.4.3	4.4.3
tidytree	0.4.6	4.4.3
tidyverse	2.0.0	4.4.3
timechange	0.3.0	4.4.2
timeDate	4051.111	4.4.3
timereg	2.0.7	4.4.3
timeROC	0.4.1	4.4.3
tinytex	0.54	4.4.2
TMB	1.9.18	4.4.3
tmvtnorm	1.7	4.4.3
tokenizers	0.3.0	4.4.3
treeio	1.30.0	4.4.1
tweedie	2.3.5	4.4.3
tweenr	2.0.3	4.4.3
TwoSampleMR	0.7.5	4.4.2
tzdb	0.4.0	4.4.2
ucminf	1.2.2	4.4.1
UCSC.utils	1.2.0	4.4.1
units	1.0-0	4.4.3
UpSetR	1.4.0	4.4.3
urlchecker	1.0.1	4.4.2
usethis	3.0.0	4.4.1
usmap	1.0.0	4.4.3
usmapdata	1.0.0	4.4.3
utf8	1.2.4	4.4.2
uuid	1.2-1	4.4.1
uwot	0.2.3	4.4.3
vcd	1.4-13	4.4.3
vctrs	0.7.3	4.4.3
vegan	2.7-2	4.4.3
VennDiagram	1.8.2	4.4.3
VGAM	1.1-14	4.4.3
VIM	6.2.6	4.4.3
vioplot	0.5.1	4.4.3
vipor	0.4.7	4.4.3
viridis	0.6.5	4.4.2
viridisLite	0.4.2	4.4.2
visdat	0.6.0	4.4.3
visNetwork	2.1.4	4.4.3
vroom	1.7.1	4.4.3
vsn	3.74.0	4.4.1
waldo	0.6.2	4.4.3
warp	0.2.2	4.4.3
webshot	0.5.5	4.4.3
webshot2	0.1.2	4.4.3
websocket	1.4.4	4.4.3
WGCNA	1.73	4.4.3
whisker	0.4.1	4.4.2
withr	3.0.2	4.4.2
wk	0.9.4	4.4.3
Wrench	1.24.0	4.4.1
writexl	1.5.4	4.4.3
xfun	0.49	4.4.2
xgboost	1.7.11.1	4.4.3
xlsx	0.6.5	4.4.2
xlsxjars	0.6.1	4.4.0
XML	3.99-0.19	4.4.3
xml2	1.3.6	4.4.2
xopen	1.0.1	4.4.2
xtable	1.8-4	4.4.2
XVector	0.46.0	4.4.1
yaml	2.3.10	4.4.1
yulab.utils	0.2.1	4.4.3
zip	2.3.1	4.4.2
zlibbioc	1.52.0	4.4.1
zoo	1.8-12	4.4.2
base	4.4.2	4.4.2
boot	1.3-31	4.4.2
class	7.3-22	4.4.2
cluster	2.1.6	4.4.2
codetools	0.2-20	4.4.2
compiler	4.4.2	4.4.2
datasets	4.4.2	4.4.2
foreign	0.8-87	4.4.2
graphics	4.4.2	4.4.2
grDevices	4.4.2	4.4.2
grid	4.4.2	4.4.2
KernSmooth	2.23-24	4.4.2
lattice	0.22-6	4.4.2
MASS	7.3-61	4.4.2
Matrix	1.7-1	4.4.2
methods	4.4.2	4.4.2
mgcv	1.9-1	4.4.2
nlme	3.1-166	4.4.2
nnet	7.3-19	4.4.2
parallel	4.4.2	4.4.2
rpart	4.1.23	4.4.2
spatial	7.3-17	4.4.2
splines	4.4.2	4.4.2
stats	4.4.2	4.4.2
stats4	4.4.2	4.4.2
survival	3.7-0	4.4.2
tcltk	4.4.2	4.4.2
tools	4.4.2	4.4.2
utils	4.4.2	4.4.2
